Nom du produit;N° Permis;Etat d’autorisation;Détenteur PCP;Produit de référence français;N° AMM de référence français;Nom du produit importé;N° AMM du produit importé;Etat Membre d'origine;Mentions d'étiquetage;
BOPYR;2130136;AUTORISE;GRITCHE;BELLIS;2080070;BELLIS;AMM n° 12868;Italie;Selon le produit de référence français;
BOPYR;2130136;AUTORISE;GRITCHE;BELLIS;2080070;BELLIS 38 WG;AMM n° R-48/2011;Pologne;Selon le produit de référence français;
BOPYR;2130136;AUTORISE;GRITCHE;BELLIS;2080070;BELLIS;AMM n° 036PC/27.02.2014;Roumanie;Selon le produit de référence français;
KOLAVIS;2160708;AUTORISE;GRITCHE;CLERAVIS;2120076;CLERAVIS 492.5 SC;AMM n° R-435/2015d;Pologne;Selon le produit de référence français;
KOLAVIS;2160708;AUTORISE;GRITCHE;CLERAVIS;2120076;CLERAVIS;AMM n° 4914-0;République tchèque;Selon le produit de référence français;
CAZOPYRE;2120054;RETIRE;M. CAZORLA S.L;PYRINEX ME;9900104;WARRIOR;AMM n° 23.819;Espagne;Selon le produit de référence français;
GECALOXI 50;2170166;AUTORISE;M. CAZORLA S.L;GEOXE WG;2110147;GEOXE 50 WG;AMM n° 25.584;Espagne;Selon le produit de référence français;
TIMAZILE;2060111;AUTORISE;EUROFYTO NV;DIABOLO;2050078;DIABOLO SL;AMM n° 9346 P/B;Belgique;Selon le produit de référence français;
TIMAZILE;2060111;AUTORISE;EUROFYTO NV;DIABOLO;2050078;DIABOLO SL;AMM n° 8921N;Pays-Bas;Selon le produit de référence français;
BETACIL;2170323;AUTORISE;SORALYS SAS;VENZAR;6400401;VENZAR;AMM n° 7379;Italie;Selon le produit de référence français;
ROUTEONE ROSATE 360;2080111;RETIRE;ALBAUGH UK LTD;BARCLAY GALLUP;9400162;BARCLAY GALLUP 360;AMM n° 12659;Royaume-Uni;Selon le produit de référence français;
AGRO GLYPHOSATE;2090196;RETIRE;CERA CHEM S.A.R.L.;BARCLAY GALLUP;9400162;BARCLAY GALLUP 360;AMM n° 12659;Royaume-Uni;Selon le produit de référence français;
VENTURIA 50 WG;2110029;AUTORISE;AGRI CANIGOU SARL;CONSIST;9900037;FLINT;AMM n° 11119;Italie;Selon le produit de référence français;
DROP 360;2070246;RETIRE;CAVE DES HAUTS DE GIRONDE;BARCLAY GALLUP;9400162;BARCLAY GALLUP;AMM n° 4011/00;Allemagne;Selon le produit de référence français;
DROP 360;2070246;RETIRE;CAVE DES HAUTS DE GIRONDE;BARCLAY GALLUP;9400162;GALLUP 360;AMM n° 12659;Royaume-Uni;Selon le produit de référence français;
REALCHEMIE GLYPHOSAT 360/1;2110057;RETIRE;REALCHEMIE NEDERLAND BV;GLYWEED;2100022;GLYWEED;AMM n° 14444;Royaume-Uni;Selon le produit de référence français;
HERBASATE;2100044;RETIRE;RIVALE;ROUNDUP;7400057;ROUNDUP;AMM n° 14.314;Espagne;Selon le produit de référence français;
GLIZORLA;2100132;RETIRE;M. CAZORLA S.L;GLYFOS;9100154;GLYFOS;AMM n° 19.100;Espagne;Selon le produit de référence français;
ESSAI 360;2080044;RETIRE;CAVE DES HAUTS DE GIRONDE;GLYFOS;9100154;GLYFOS;AMM n° 416200;Allemagne;Selon le produit de référence français;
ESSAI 360;2080044;RETIRE;CAVE DES HAUTS DE GIRONDE;GLYFOS;9100154;GLYFOS;AMM n° 10995;Royaume-Uni;Selon le produit de référence français;
BIGUINE;2120065;AUTORISE;GRITCHE;INPUT;2100056;INPUT;AMM n° 5625-00;Allemagne;Selon le produit de référence français;
BIGUINE;2120065;AUTORISE;GRITCHE;INPUT;2100056;INPUT 460 EC;AMM n° 0286F/06;Lituanie;Selon le produit de référence français;
BIGUINE;2120065;AUTORISE;GRITCHE;INPUT;2100056;INPUT 460 EC;AMM n° R-61/2011;Pologne;Selon le produit de référence français;
BOSMET;2140174;AUTORISE;GRITCHE;EFILOR;2120206;EFILOR 193 SC;AMM n° R-101/2013;Pologne;Selon le produit de référence français;
